Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
2024-07-01 00:00:00,00:00:00,CNR2993210583,Success,CID988207,Prime Sedan,Richmond Town,Jayanagar,276.0,126.0,,,No,,262,Cash,8,4.3,4.4
2024-07-01 00:00:00,00:00:00,CNR7671021644,Success,CID873593,Uber Go,JP Nagar,Chamarajpet,116.0,116.0,,,No,,161,Cash,9,3.6,4.2
2024-07-01 00:01:00,00:01:00,CNR8523226588,Success,CID830611,Auto,RT Nagar,Ulsoor,22.0,113.0,,,No,,184,UPI,19,3.9,3.9
2024-07-01 00:02:00,00:02:00,CNR4889744823,Canceled by Driver,CID305395,eBike,HSR Layout,Chamarajpet,,,,Personal & Car related issue,,,409,,50,,
2024-07-01 00:03:00,00:03:00,CNR7471986688,Success,CID580908,Prime Sedan,Whitefield,MG Road,66.0,45.0,,,No,,232,Cash,13,3.3,3.8
2024-07-01 00:03:00,00:03:00,CNR1285163648,Success,CID551091,Mini,Tumkur Road,Sahakar Nagar,75.0,125.0,,,No,,441,Cash,10,4.5,4.4
2024-07-01 00:03:00,00:03:00,CNR6866885167,Success,CID765622,Prime Sedan,MG Road,JP Nagar,254.0,57.0,,,No,,621,Cash,23,4.1,3.9
2024-07-01 00:04:00,00:04:00,CNR6602418732,Canceled by Customer,CID215919,Uber Go,HSR Layout,Richmond Town,,,Change of plans,,,,423,,38,,
2024-07-01 00:04:00,00:04:00,CNR1436441002,Canceled by Driver,CID993238,Prime Sedan,Bannerghatta Road,Richmond Town,,,,Wrong Address,,,893,,0,,
2024-07-01 00:06:00,00:06:00,CNR6982395657,Success,CID195047,eBike,Rajajinagar,Whitefield,205.0,82.0,,,No,,912,Credit Card,5,4.2,4.3
2024-07-01 00:06:00,00:06:00,CNR4562435731,Success,CID325460,eBike,Sahakar Nagar,Sahakar Nagar,92.0,149.0,,,No,,521,Cash,12,4.3,4.4
2024-07-01 00:06:00,00:06:00,CNR2664739374,Driver Not Found,CID131838,Auto,Marathahalli,MG Road,,,,,,,971,,28,,
2024-07-01 00:06:00,00:06:00,CNR5512619635,Canceled by Customer,CID955659,eBike,RT Nagar,RT Nagar,,,Long wait time,,,,301,,2,,
2024-07-01 00:07:00,00:07:00,CNR3970596974,Success,CID915555,Uber Premier,Ulsoor,Richmond Town,79.0,107.0,,,No,,405,Cash,31,4.0,2.9
2024-07-01 00:07:00,00:07:00,CNR6575272727,Success,CID452659,Auto,RT Nagar,Chamarajpet,26.0,21.0,,,No,,1249,Cash,49,4.2,4.9
2024-07-01 00:07:00,00:07:00,CNR4011253454,Success,CID126533,Prime SUV,MG Road,Indiranagar,245.0,149.0,,,No,,225,Wallet,9,4.4,4.5
2024-07-01 00:08:00,00:08:00,CNR1107950367,Success,CID394522,Uber Go,Yeshwanthpur,Yeshwanthpur,60.0,125.0,,,No,,785,Credit Card,27,4.4,4.6
2024-07-01 00:08:00,00:08:00,CNR1789497294,Success,CID434699,Sedan,Vijayanagar,JP Nagar,200.0,39.0,,,No,,1168,UPI,37,3.4,3.8
2024-07-01 00:08:00,00:08:00,CNR5212974729,Driver Not Found,CID789873,Auto,Ulsoor,BTM Layout,,,,,,,535,,3,,
2024-07-01 00:08:00,00:08:00,CNR1946947660,Canceled by Driver,CID173196,Prime Sedan,Bannerghatta Road,Marathahalli,,,,Driver asked to cancel,,,996,,43,,
2024-07-01 00:09:00,00:09:00,CNR9142416534,Success,CID251321,Prime Sedan,Koramangala,HSR Layout,208.0,131.0,,,No,,295,Credit Card,18,4.1,4.5
2024-07-01 00:09:00,00:09:00,CNR6540218449,Success,CID124459,Uber Premier,JP Nagar,HSR Layout,63.0,55.0,,,No,,694,UPI,3,4.5,4.4
2024-07-01 00:09:00,00:09:00,CNR7285411368,Success,CID685584,Auto,Ulsoor,Yeshwanthpur,201.0,46.0,,,No,,270,UPI,43,4.8,3.6
2024-07-01 00:09:00,00:09:00,CNR2919217759,Canceled by Customer,CID526620,eBike,Sahakar Nagar,Electronic City,,,Wrong address,,,,434,,40,,
2024-07-01 00:10:00,00:10:00,CNR5117833047,Driver Not Found,CID654150,Prime SUV,Bannerghatta Road,Sahakar Nagar,,,,,,,500,,39,,
2024-07-01 00:10:00,00:10:00,CNR3897383798,Canceled by Driver,CID277858,eBike,RT Nagar,Rajajinagar,,,,Personal & Car related issue,,,492,,12,,
2024-07-01 00:10:00,00:10:00,CNR7075090200,Success,CID532054,Uber Premier,Hennur,Varthur,186.0,109.0,,,No,,1508,Debit Card,24,5.0,4.0
2024-07-01 00:10:00,00:10:00,CNR1066041168,Driver Not Found,CID590699,Prime Plus,Varthur,Tumkur Road,,,,,,,175,,24,,
2024-07-01 00:10:00,00:10:00,CNR1352646473,Canceled by Driver,CID920195,Uber Go,Ulsoor,Yeshwanthpur,,,,The driver was not moving towards pickup,,,727,,23,,
2024-07-01 00:10:00,00:10:00,CNR3896874262,Success,CID330986,Mini,JP Nagar,JP Nagar,98.0,137.0,,,No,,267,UPI,50,3.6,3.7
2024-07-01 00:10:00,00:10:00,CNR2689975579,Canceled by Driver,CID916039,eBike,Tumkur Road,Ulsoor,,,,Driver asked to cancel,,,422,,46,,
2024-07-01 00:11:00,00:11:00,CNR6405045459,Success,CID925474,Prime Plus,Yeshwanthpur,Sahakar Nagar,182.0,38.0,,,No,,1334,UPI,43,3.8,3.0
2024-07-01 00:11:00,00:11:00,CNR2885831453,Canceled by Driver,CID401721,Uber Premier,Jayanagar,Tumkur Road,,,,Driver asked to cancel,,,1145,,41,,
2024-07-01 00:12:00,00:12:00,CNR9816061410,Driver Not Found,CID214775,Uber Go,Whitefield,RT Nagar,,,,,,,153,,28,,
2024-07-01 00:12:00,00:12:00,CNR9837222389,Success,CID372337,Prime Sedan,MG Road,Ulsoor,185.0,145.0,,,No,,251,Wallet,42,3.9,4.7
2024-07-01 00:12:00,00:12:00,CNR8225280815,Canceled by Customer,CID310170,Prime Plus,Jayanagar,MG Road,,,Change of plans,,,,144,,33,,
2024-07-01 00:14:00,00:14:00,CNR8849328807,Success,CID927471,Prime Sedan,Marathahalli,Tumkur Road,111.0,41.0,,,No,,751,Cash,27,3.7,3.5
2024-07-01 00:14:00,00:14:00,CNR1242972568,Success,CID366668,Prime Plus,JP Nagar,Yeshwanthpur,106.0,39.0,,,No,,757,Cash,26,3.6,4.1
2024-07-01 00:15:00,00:15:00,CNR8248503336,Success,CID497586,eBike,Indiranagar,Sahakar Nagar,151.0,65.0,,,No,,709,Cash,21,4.0,3.8
2024-07-01 00:15:00,00:15:00,CNR7134530259,Canceled by Driver,CID976454,Prime Sedan,MG Road,Rajajinagar,,,,Wrong Address,,,255,,28,,
2024-07-01 00:16:00,00:16:00,CNR8451932253,Success,CID598699,Uber Go,Jayanagar,Rajajinagar,171.0,123.0,,,No,,396,Credit Card,46,4.2,4.4
2024-07-01 00:16:00,00:16:00,CNR5352407208,Success,CID758889,Prime Plus,Yeshwanthpur,Electronic City,40.0,141.0,,,No,,367,Debit Card,8,2.9,4.4
2024-07-01 00:16:00,00:16:00,CNR7099653362,Success,CID961596,Prime Sedan,Yeshwanthpur,Yeshwanthpur,97.0,111.0,,,No,,477,Credit Card,24,4.7,4.2
2024-07-01 00:16:00,00:16:00,CNR7902726239,Canceled by Driver,CID895383,Mini,Marathahalli,Rajajinagar,,,,Wrong Address,,,2141,,32,,
2024-07-01 00:16:00,00:16:00,CNR7027061642,Success,CID435522,Bike,Tumkur Road,Whitefield,22.0,46.0,,,No,,779,Credit Card,37,4.6,4.4
2024-07-01 00:17:00,00:17:00,CNR5361560028,Success,CID318669,Sedan,Whitefield,Rajajinagar,215.0,122.0,,,No,,658,Credit Card,26,4.7,4.6
2024-07-01 00:18:00,00:18:00,CNR1644881372,Success,CID361289,Prime Plus,Richmond Town,Varthur,176.0,89.0,,,No,,417,Cash,26,4.4,3.4
2024-07-01 00:18:00,00:18:00,CNR6807206244,Success,CID205935,Prime Sedan,MG Road,Hennur,102.0,71.0,,,No,,938,Debit Card,21,3.5,4.3
2024-07-01 00:18:00,00:18:00,CNR1121621565,Canceled by Customer,CID858363,Prime Sedan,Richmond Town,Richmond Town,,,Wrong address,,,,627,,14,,
2024-07-01 00:19:00,00:19:00,CNR1856777962,Canceled by Driver,CID653571,Bike,JP Nagar,Richmond Town,,,,Personal & Car related issue,,,962,,22,,
2024-07-01 00:19:00,00:19:00,CNR4999376166,Driver Not Found,CID545691,Auto,Chamarajpet,Ulsoor,,,,,,,561,,43,,
2024-07-01 00:19:00,00:19:00,CNR6567072220,Success,CID987177,Sedan,Rajajinagar,Richmond Town,35.0,40.0,,,No,,771,Debit Card,7,3.1,4.6
2024-07-01 00:19:00,00:19:00,CNR7954391001,Canceled by Driver,CID537347,Uber Premier,MG Road,JP Nagar,,,,Personal & Car related issue,,,1339,,22,,
2024-07-01 00:20:00,00:20:00,CNR2045572211,Success,CID667206,Mini,Marathahalli,Indiranagar,232.0,102.0,,,No,,745,Credit Card,12,4.5,3.7
2024-07-01 00:20:00,00:20:00,CNR3904357646,Success,CID908179,Auto,Indiranagar,Hennur,157.0,66.0,,,No,,1372,Credit Card,8,4.9,3.7
2024-07-01 00:20:00,00:20:00,CNR4111742470,Canceled by Driver,CID833359,Mini,BTM Layout,MG Road,,,,The driver was not moving towards pickup,,,540,,37,,
2024-07-01 00:20:00,00:20:00,CNR7470398940,Canceled by Driver,CID104587,eBike,BTM Layout,Koramangala,,,,Driver asked to cancel,,,308,,33,,
2024-07-01 00:21:00,00:21:00,CNR5207368672,Success,CID501465,Uber Go,HSR Layout,Vijayanagar,244.0,46.0,,,No,,3230,Cash,2,4.1,5.0
2024-07-01 00:21:00,00:21:00,CNR6625137866,Success,CID627768,Uber Premier,Tumkur Road,MG Road,202.0,107.0,,,No,,802,Debit Card,29,4.2,3.5
2024-07-01 00:21:00,00:21:00,CNR7723686173,Success,CID325891,Mini,Rajajinagar,JP Nagar,46.0,91.0,,,No,,187,UPI,26,5.0,3.7
2024-07-01 00:21:00,00:21:00,CNR3172554580,Success,CID353061,eBike,MG Road,Koramangala,41.0,143.0,,,No,,973,UPI,39,4.1,4.4
2024-07-01 00:21:00,00:21:00,CNR8985840377,Canceled by Driver,CID648140,Auto,Tumkur Road,Bannerghatta Road,,,,Vehicle breakdown,,,756,,24,,
2024-07-01 00:21:00,00:21:00,CNR5886034811,Success,CID106828,Bike,JP Nagar,HSR Layout,208.0,115.0,,,No,,1342,Credit Card,38,5.0,4.4
2024-07-01 00:21:00,00:21:00,CNR6524780649,Canceled by Customer,CID699075,Prime Sedan,Chamarajpet,Vijayanagar,,,AC not working,,,,595,,35,,
2024-07-01 00:22:00,00:22:00,CNR4156954832,Success,CID189587,Bike,Jayanagar,Electronic City,155.0,38.0,,,No,,384,Debit Card,7,4.1,4.3
2024-07-01 00:22:00,00:22:00,CNR7044266154,Success,CID980601,Mini,Koramangala,Richmond Town,111.0,135.0,,,No,,260,UPI,27,4.2,3.0
2024-07-01 00:22:00,00:22:00,CNR4816237646,Success,CID900115,Prime Plus,Hennur,HSR Layout,250.0,56.0,,,No,,714,UPI,19,3.5,4.3
2024-07-01 00:22:00,00:22:00,CNR4854832546,Success,CID620598,Prime Sedan,Whitefield,Rajajinagar,191.0,104.0,,,No,,740,Credit Card,23,4.9,3.7
2024-07-01 00:23:00,00:23:00,CNR8490973170,Success,CID736718,Uber Go,Rajajinagar,Jayanagar,263.0,90.0,,,No,,823,UPI,4,4.5,3.6
2024-07-01 00:23:00,00:23:00,CNR6818562558,Canceled by Driver,CID707443,Auto,BTM Layout,Rajajinagar,,,,The driver was not moving towards pickup,,,860,,36,,
2024-07-01 00:23:00,00:23:00,CNR9769998352,Success,CID301020,Sedan,Yeshwanthpur,Rajajinagar,43.0,97.0,,,No,,2271,Cash,33,4.6,4.4
2024-07-01 00:23:00,00:23:00,CNR5190083586,Driver Not Found,CID754308,Bike,Richmond Town,BTM Layout,,,,,,,282,,0,,
2024-07-01 00:23:00,00:23:00,CNR4459362051,Success,CID236058,Prime Sedan,Varthur,Jayanagar,272.0,145.0,,,No,,216,UPI,5,4.8,4.0
2024-07-01 00:23:00,00:23:00,CNR8670582097,Success,CID915869,Auto,Sahakar Nagar,Bannerghatta Road,47.0,55.0,,,Yes,Other,288,UPI,10,3.6,4.0
2024-07-01 00:24:00,00:24:00,CNR1260259568,Canceled by Customer,CID148866,Prime Plus,RT Nagar,Vijayanagar,,,AC not working,,,,282,,39,,
2024-07-01 00:24:00,00:24:00,CNR8321400357,Success,CID768198,Mini,Tumkur Road,Jayanagar,272.0,81.0,,,No,,415,Credit Card,18,4.1,3.0
2024-07-01 00:24:00,00:24:00,CNR1644170096,Success,CID130827,Bike,Jayanagar,Richmond Town,240.0,62.0,,,No,,829,Cash,40,4.0,3.1
2024-07-01 00:24:00,00:24:00,CNR8726442891,Canceled by Customer,CID711995,Prime Sedan,Jayanagar,HSR Layout,,,AC not working,,,,261,,31,,
2024-07-01 00:24:00,00:24:00,CNR1406380280,Success,CID495597,Uber Premier,HSR Layout,Bannerghatta Road,238.0,32.0,,,No,,164,UPI,48,3.8,4.1
2024-07-01 00:24:00,00:24:00,CNR4078502664,Success,CID331849,Auto,Chamarajpet,Tumkur Road,232.0,105.0,,,Yes,Other,224,UPI,21,4.1,4.5
2024-07-01 00:25:00,00:25:00,CNR3081920087,Canceled by Customer,CID966727,Auto,BTM Layout,Marathahalli,,,Long wait time,,,,309,,2,,
2024-07-01 00:25:00,00:25:00,CNR9349647082,Canceled by Driver,CID833964,Bike,Marathahalli,Richmond Town,,,,Wrong Address,,,1437,,3,,
2024-07-01 00:25:00,00:25:00,CNR6661289650,Success,CID625813,Prime Plus,Electronic City,Vijayanagar,233.0,142.0,,,Yes,Other,127,Cash,42,3.8,3.6
2024-07-01 00:26:00,00:26:00,CNR5771858644,Canceled by Driver,CID153176,Uber Go,Tumkur Road,Sahakar Nagar,,,,Driver asked to cancel,,,347,,36,,
2024-07-01 00:27:00,00:27:00,CNR3860898947,Success,CID315479,Prime SUV,HSR Layout,Tumkur Road,270.0,147.0,,,No,,508,UPI,16,4.7,3.7
2024-07-01 00:28:00,00:28:00,CNR5527552854,Success,CID551092,Prime Sedan,Jayanagar,MG Road,226.0,61.0,,,No,,2210,UPI,35,4.7,4.3
2024-07-01 00:28:00,00:28:00,CNR8257967359,Success,CID526764,Bike,Rajajinagar,BTM Layout,147.0,66.0,,,No,,664,Debit Card,43,4.0,5.0
2024-07-01 00:28:00,00:28:00,CNR3877070015,Success,CID817313,Uber Premier,Bannerghatta Road,Hennur,51.0,97.0,,,No,,548,UPI,9,3.7,4.2
2024-07-01 00:28:00,00:28:00,CNR7344171090,Success,CID979035,Prime SUV,Yeshwanthpur,Tumkur Road,200.0,46.0,,,No,,265,UPI,49,3.8,4.5
2024-07-01 00:29:00,00:29:00,CNR3719062971,Canceled by Driver,CID829037,Bike,Jayanagar,Jayanagar,,,,Vehicle breakdown,,,360,,41,,
2024-07-01 00:29:00,00:29:00,CNR7645177210,Canceled by Customer,CID557676,Uber Premier,Rajajinagar,Koramangala,,,Long wait time,,,,2393,,23,,
2024-07-01 00:30:00,00:30:00,CNR5900053649,Driver Not Found,CID940387,Auto,RT Nagar,Sahakar Nagar,,,,,,,561,,17,,
2024-07-01 00:31:00,00:31:00,CNR8521219949,Success,CID141091,Prime Sedan,JP Nagar,Magadi Road,264.0,112.0,,,No,,788,Credit Card,43,4.1,4.4
2024-07-01 00:32:00,00:32:00,CNR1130011770,Success,CID228541,Mini,Richmond Town,Varthur,144.0,74.0,,,Yes,Route issue,696,Cash,30,5.0,4.0
2024-07-01 00:32:00,00:32:00,CNR5675635396,Canceled by Driver,CID740742,eBike,Hennur,Bannerghatta Road,,,,Personal & Car related issue,,,899,,2,,
2024-07-01 00:32:00,00:32:00,CNR3214085577,Success,CID694655,Auto,Vijayanagar,Whitefield,114.0,38.0,,,No,,978,Wallet,50,4.6,3.7
2024-07-01 00:33:00,00:33:00,CNR9607299619,Success,CID221720,Prime SUV,JP Nagar,Magadi Road,204.0,98.0,,,No,,215,Credit Card,49,4.9,3.8
2024-07-01 00:33:00,00:33:00,CNR3232366716,Canceled by Driver,CID494847,Mini,Hennur,Vijayanagar,,,,Driver asked to cancel,,,640,,35,,
2024-07-01 00:33:00,00:33:00,CNR2536532048,Canceled by Driver,CID331950,Auto,Whitefield,Electronic City,,,,Wrong Address,,,858,,13,,
